time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-18T08:14:19.050Z,18.789,-67.2523,12,3.25,md,23,208,0.3511,0.19,pr,pr2021291004,2021-10-18T08:52:40.488Z,"36 km NNW of San Antonio, Puerto Rico",earthquake,0.48,0.7,0.11,9,reviewed,pr,pr
2021-10-18T08:08:29.245Z,31.55961406,-104.1513886,6.157275391,3.2,ml,15,56,0.08670141471,0.3,tx,tx2021ukma,2021-10-18T20:44:36.465Z,"43 km NW of Toyah, Texas",earthquake,1.248139145,1.660679899,0.1,6,reviewed,tx,tx
2021-10-18T08:07:22.450Z,31.55776587,-104.1535275,7.494091797,3.5,ml,17,55,0.08795345403,0.3,tx,tx2021uklz,2021-10-19T08:11:24.376Z,"43 km NW of Toyah, Texas",earthquake,0.9562534138,1.571036672,0.1,7,reviewed,tx,tx
2021-10-18T08:01:38.129Z,27.9554,85.8716,10,4.3,mb,,89,5.854,0.62,us,us6000fvsc,2021-10-19T02:46:44.195Z,"8 km W of Kodāri̇̄, Nepal",earthquake,6.7,1.8,0.1,28,reviewed,us,us
2021-10-18T07:36:12.960Z,37.0533333,-117.9296667,1.77,2.51,ml,26,75,0.2403,0.13,ci,ci39836455,2021-10-18T20:43:10.063Z,"34km ESE of Big Pine, CA",earthquake,0.16,0.79,0.251,11,reviewed,ci,ci
2021-10-18T07:33:41.420Z,17.8453,-66.8805,13,2.87,md,11,254,0.2055,0.12,pr,pr2021291003,2021-10-18T08:03:17.128Z,"14 km SSE of Guánica, Puerto Rico",earthquake,0.95,0.6,0.21,3,reviewed,pr,pr
2021-10-18T07:26:52.398Z,-13.7397,166.9399,96.48,6.1,mww,,31,1.716,0.94,us,us6000fvkf,2021-10-19T07:31:47.148Z,"67 km WNW of Sola, Vanuatu",earthquake,7.7,5.6,0.062,25,reviewed,us,us
2021-10-18T07:26:36.014Z,-17.1815,-70.5431,130.71,4,mb,,173,1.093,0.54,us,us6000fvke,2021-10-18T09:06:18.040Z,"19 km WNW of Camilaca, Peru",earthquake,10.3,12.2,0.26,4,reviewed,us,us
2021-10-18T07:03:50.417Z,2.7512,128.0686,161.75,4.7,mb,,111,2.087,0.49,us,us6000fvk9,2021-10-18T07:30:46.040Z,"113 km N of Tobelo, Indonesia",earthquake,9.6,4.6,0.06,85,reviewed,us,us
2021-10-18T06:33:40.665Z,60.0544,-140.1774,9.4,2.6,ml,,,,0.74,ak,ak021ddd5r4k,2021-10-18T06:38:30.866Z,"61 km NNW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-10-18T06:24:16.346Z,-25.5621,-179.9818,498.5,4.8,mb,,49,4.115,0.71,us,us6000fvk1,2021-10-18T06:43:31.040Z,"south of the Fiji Islands",earthquake,10.9,7.8,0.037,223,reviewed,us,us
2021-10-18T05:49:18.230Z,24.2087,121.6783,35.61,4.8,mb,,82,0.083,0.68,us,us6000fvjy,2021-10-18T07:13:28.541Z,"26 km NNE of Hualien City, Taiwan",earthquake,3.9,7,0.065,73,reviewed,us,us
2021-10-18T05:34:58.350Z,19.1755,-155.507,36.57,3.15,ml,54,90,,0.11,hv,hv72760682,2021-10-18T17:33:28.509Z,"4 km SW of Pāhala, Hawaii",earthquake,0.41,0.5,0.161393096450129,38,reviewed,hv,hv
2021-10-18T04:14:41.594Z,31.70521977,-104.0001866,7.159887695,2.6,ml,35,64,0.0374793804,0.2,tx,tx2021ukei,2021-10-18T19:10:19.126Z,"37 km W of Mentone, Texas",earthquake,1.530722899,1.047517182,0.1,37,reviewed,tx,tx
2021-10-18T04:11:48.490Z,17.9085,-66.8526,14,2.55,md,10,229,0.2011,0.13,pr,pr2021291002,2021-10-18T04:38:28.466Z,"8 km SSE of Maria Antonia, Puerto Rico",earthquake,0.6,0.89,0.05,3,reviewed,pr,pr
2021-10-18T02:51:29.514Z,-20.176,-70.5755,24.69,4,mwr,,161,0.536,1.06,us,us6000fvja,2021-10-19T05:26:39.130Z,"44 km W of Iquique, Chile",earthquake,4.3,2.3,0.05,39,reviewed,us,us
2021-10-18T02:48:42.310Z,19.1146,-66.5351,22,3.55,md,25,231,0.6375,0.22,pr,pr2021291000,2021-10-19T03:28:32.040Z,"72 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,0.66,14.2,0.08,17,reviewed,pr,pr
2021-10-18T02:42:00.460Z,45.3658333333333,-121.702166666667,2.4,2.49,ml,23,51,0.007639,0.11,uw,uw61781872,2021-10-19T03:25:10.040Z,"8 km NNE of Government Camp, Oregon",earthquake,0.22,0.29,0.234009064666675,16,reviewed,uw,uw
2021-10-18T02:01:23.524Z,38.2605,141.5006,73.92,4.6,mb,,135,2.548,0.49,us,us6000fvj4,2021-10-18T02:40:23.040Z,"24 km SE of Ishinomaki, Japan",earthquake,8.7,7.6,0.158,12,reviewed,us,us
2021-10-18T01:34:47.741Z,56.3041,-156.6187,16.6,3,ml,,,,0.48,ak,ak021dda6tc6,2021-10-19T02:59:24.040Z,"110 km E of Chignik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-10-18T00:41:49.100Z,36.2098333,-117.856,4.61,2.51,ml,40,32,0.09207,0.15,ci,ci39836263,2021-10-18T20:44:35.040Z,"16km ESE of Olancha, CA",earthquake,0.14,0.47,0.17,23,reviewed,ci,ci
2021-10-18T00:37:01.344Z,29.2739,104.0985,10,4.5,mb,,57,4.795,0.65,us,us6000fviw,2021-10-18T01:37:29.040Z,"14 km SSE of Luocheng, China",earthquake,6.5,1.8,0.067,65,reviewed,us,us
2021-10-18T00:27:33.841Z,31.65633444,-104.5642811,6.979931641,2.9,ml,18,80,0.05552565887,0.3,tx,tx2021ujwu,2021-10-18T17:46:58.795Z,"60 km SSW of Whites City, New Mexico",earthquake,1.728002482,1.17964488,0.1,7,reviewed,tx,tx
2021-10-17T23:26:32.998Z,16.7212,-93.9254,113.09,4.4,mb,,157,1.77,0.65,us,us6000fvij,2021-10-18T03:38:22.732Z,"12 km W of Emiliano Zapata, Mexico",earthquake,6.4,15,0.112,23,reviewed,us,us
2021-10-17T22:58:40.990Z,19.1995,-155.435333333333,35.33,3.29,ml,55,137,,0.11,hv,hv72760287,2021-10-19T11:57:22.284Z,"4 km E of Pāhala, Hawaii",earthquake,0.41,0.5,0.239059598121337,38,reviewed,hv,hv
2021-10-17T21:59:51.077Z,28.7036,138.1975,506.54,5.4,mww,,43,3.874,0.78,us,us6000fvi9,2021-10-19T04:55:49.259Z,"Bonin Islands, Japan region",earthquake,9.3,5.5,0.098,10,reviewed,us,us
2021-10-17T21:56:32.119Z,29.9239,68.2868,21.86,4.4,mb,,123,4.647,0.86,us,us6000fvi8,2021-10-19T04:36:32.040Z,"37 km SW of Duki, Pakistan",earthquake,11,6.9,0.155,12,reviewed,us,us
2021-10-17T21:41:06.920Z,36.213,-117.8613333,4.1,2.69,ml,37,53,0.09537,0.15,ci,ci39836215,2021-10-19T04:20:29.040Z,"15km ESE of Olancha, CA",earthquake,0.19,0.51,0.121,24,reviewed,ci,ci
